math_score,programming_score,communication_score,problem_solving_score,web_interest,mobile_interest,ai_interest,database_interest,networking_interest,cloud_interest,design_interest,preferred_subject,career_goal,recommended_path
82,84,73,62,5,6,3,7,9,5,2,Network Security,Become a security consultant,Cybersecurity Analyst
64,65,55,57,7,9,6,8,6,4,9,UI Design,Work at a tech company,Mobile App Developer
83,57,48,59,5,4,5,7,10,8,5,Cloud Computing,Work at a cloud provider,Cloud/DevOps Engineer
61,53,50,77,3,5,6,6,2,4,3,Statistics,Become a data scientist,Data Analyst
62,85,52,89,8,5,4,8,5,8,8,Database Systems,Work independently,Full Stack Developer
89,63,84,65,2,4,6,10,3,5,5,Data Science,Work in business intelligence,Data Analyst
88,72,55,74,7,8,3,7,7,7,7,Database Systems,Build complete applications,Full Stack Developer
67,89,66,85,7,3,3,5,6,5,3,Database Systems,Become a software architect,Backend Developer
74,95,49,74,4,10,6,5,2,5,8,UI Design,Launch own app,Mobile App Developer
95,87,70,94,6,5,10,8,2,8,3,Artificial Intelligence,Build AI systems,Machine Learning Engineer
68,73,71,67,4,3,3,7,7,10,4,Cloud Computing,Work at a cloud provider,Cloud/DevOps Engineer
75,77,44,90,8,4,5,5,7,9,5,Cloud Computing,Manage cloud infrastructure,Cloud/DevOps Engineer
76,72,47,78,7,5,6,7,8,8,4,System Administration,Automate deployments,Cloud/DevOps Engineer
57,87,47,84,4,10,3,6,3,3,5,Mobile Development,Work at a tech company,Mobile App Developer
44,62,54,68,7,4,2,6,3,5,8,Web Development,Create interactive UIs,Frontend Developer
68,97,65,70,6,4,7,9,5,4,3,Database Systems,Work on server-side logic,Backend Developer
84,70,73,63,4,1,3,9,7,9,4,Data Management,Optimize database performance,Database Administrator
81,93,46,60,9,5,6,6,5,8,6,Software Engineering,Lead development teams,Full Stack Developer
77,82,57,58,4,5,5,8,7,8,2,System Administration,Work at a cloud provider,Cloud/DevOps Engineer
74,93,40,70,10,3,2,5,3,3,6,Web Development,Work at a tech startup,Frontend Developer
88,92,48,74,5,2,8,6,4,4,3,Deep Learning,Build AI systems,Machine Learning Engineer
85,50,71,89,5,3,7,10,1,6,3,Statistics,Become a data scientist,Data Analyst
83,51,73,89,4,1,7,8,2,2,6,Statistics,Become a data scientist,Data Analyst
71,65,71,86,7,7,5,8,4,7,5,Database Systems,Lead development teams,Full Stack Developer
78,59,55,82,2,1,7,7,3,2,3,Data Science,Analyze data for insights,Data Analyst
77,80,71,58,5,4,7,9,7,8,2,SQL,Optimize database performance,Database Administrator
73,68,44,65,7,6,6,6,9,8,5,Cryptography,Protect systems from attacks,Cybersecurity Analyst
